,Key,String,,,,
8,s_upgradedowngrade,"Upgrade, downgrade, or cancle anytime- no hidden fees!","Faça upgrade, downgrade ou cancele quando quiser — sem taxas escondidas!","Actualizar, bajar de categoría o cancelar en cualquier momento, ¡sin cargos ocultos!",随时升级、降级或取消 - 无隐藏费用！​,"Nâng cấp, hạ cấp hoặc hủy gói dịch vụ bất kỳ lúc nào — không có phí ẩn!"
5,s_exclusivediscounts,Exclusive Discounts for Annual Plans,"
Descontos exclusivos para planos anuais",Descuentos exclusivos para planes anuales,年度订阅计划专享优惠,Giảm Giá Độc Quyền cho Gói Hàng Năm
8,s_savemorewhenyou,Save more when you choose our yearly plan!,Economize mais escolhendo a opção anual!,¡Ahorra más si eliges el plan anual!,选择我们全年订阅计划，节省更多！,Tiết kiệm nhiều hơn khi chọn gói dịch vụ theo năm!
16,s_enjoyunlimitedaccess,"Enjoy Unlimited Access to Over 40,000 Hours of K-Content!
New K-Drama & Shows Added Daily and Weekly!","Aproveite acesso ilimitado a mais de 40.000 horas de conteúdo coreano! 
Novos K-dramas e programas adicionados diariamente e semanalmente!","¡Disfruta de acceso ilimitado a más de 40 000 horas de K-Content!
¡Nuevos K-dramas y programas agregados a diario y semanalmente!","畅享超过 40,000 小时韩国影剧的无限制观看！​
每日每周更新最新韩剧及节目！",Thưởng Thức Không Giới Hạn Hơn 40.000 Giờ Nội Dung Hàn Quốc! Phim & Các Chương Trình Truyền Hình Hàn Quốc mới được cập nhật hàng ngày và hàng tuần!
2,s_upgradenow,Upgrade Now!,"Faça o upgrade agora!
",¡Actualizar ahora!,立即升级！,Nâng Cấp Ngay!
8,s_pleasecheckthedetails,Please check the details of each plan below.,"Confira os detalhes de cada plano abaixo.


",Comprueba los detalles de cada plan a continuación.,请在下方查看各方案详情。​,Vui lòng kiểm tra chi tiết từng gói dịch vụ bên dưới.
3,s_menualrenewal,Manual Renewal Required,"Você precisa renovar manualmente
",Se requiere renovación manual,需手动续订​,Yêu Cầu Gia Hạn Thủ Công
2,s_only,only {},"
somente {}

",solo {},​​仅需 {}​​,chỉ {}
8,s_offfor1fullyear,{} Off for 1 Fulll Year of K-Content!,"{} de desconto por 1 ano inteiro de conteúdo coreano!
",¡{} de descuento por 1 año completo de K-Content!,{} 折扣，享一整年韩国节目！,Giảm {} cho 1 Năm Trọn Vẹn nội dung Hàn Quốc!
2,s_noads,No Ads,Sem anúncios,Sin anuncios,无广告​,Không Có Quảng Cáo
6,s_getoff,Get {n}% off — available now!,{n}% de desconto — aproveite agora!,Obtén un {n}% de descuento — ¡disponible ahora!,享受{n}% 折扣 — 即刻生效！,Giảm {n}% — áp dụng ngay!
21,s_subscribetogetpriority_nomovie,"Subscribe to get priority access to over 40,000 hours of the best Korean Dramas, TV Shows, and Webcomics with premium subtitles.","Assine para ter acesso prioritário a mais de 40.000 horas dos melhores dramas coreanos, programas de televisão e webcomics com legendas premium.","Suscríbete para obtener acceso prioritario a más de 40 000 horas de los mejores dramas, programas de televisión y webcómics coreanos con subtítulos premium.","立即订阅，优先观看超过 40,000 小时精选韩剧、电视节目和网络漫画，均享高质量字幕。​","Đăng ký gói để được ưu tiên truy cập vào hơn 40,000 giờ Phim, Chương Trình Truyền Hình và Webcomic Hàn Quốc hay nhất với phụ đề chất lượng cao."
3,s_planchangeun,Plan Change Unavailable,Alteração de plano indisponível,Cambio de plan no disponible,无法更改订阅计划,Không Thể Thay Đổi Gói Đăng Ký.
17,s_planchangeonplatfrom,"Please change your subscription on the {platform_name} you used to purchase. For help, visit our Help Center.","Altere sua assinatura na plataforma {platform_name} onde foi feita a compra. Para ajuda, acesse nossa Central de Ajuda.","Cambia tu suscripción en la plataforma {platform_name} que usaste para comprar. Para obtener ayuda, comunícate con nuestro Centro de ayuda.",请前往您当初购买订阅的{platform_name}更改您的订阅计划。如需帮助，请访问我们的帮助中心。,"Vui lòng thay đổi gói đăng ký trên nền tảng {platform_name} mà bạn đã dùng để mua. Để được hỗ trợ, vui lòng truy cập Trung Tâm Hỗ Trợ của chúng tôi."
8,s_planchangefailed,Plan change failed. Please contact our Help Center.,Não foi possível alterar o plano. Entre em contato com a nossa Central de Ajuda.,Error en el cambio de plan. Comunícate con nuestro Centro de ayuda.,订阅计划更改失败。请联系我们的帮助中心。,Thay đổi gói đăng ký không thành công. Vui lòng liên hệ Trung Tâm Hỗ Trợ của chúng tôi.
5,s_comparepremium,Compared to Premium Monthly Plan:,Comparado ao plano mensal Premium:,En comparación con el plan mensual premium:,与高级月度计划对比：,So sánh với Gói Cao Cấp Hàng Tháng:
8,s_gui_checkpaymenu,"For purchase details, please check the Payment menu.","Para detalhes da compra, acesse o menu Pagamento.","Para obtener detalles de la compra, consulta el menú Pago.",确认购买详情，请查看付款菜单。,"Để kiểm tra chi tiết mua hàng, vui lòng vào mục Thanh Toán."
19,,"Get priority access to thousands of hours of the best Korean dramas, TV shows, and Webcomics with premium subtitles.","Tenha acesso exclusivo a milhares de horas dos melhores dramas coreanos, programas de TV e webcomics com legendas premium.","Obtén acceso prioritario a miles de horas de los mejores dramas, programas de televisión y webcómics coreanos con subtítulos premium.",优先观看数千小时的精选韩剧、电视节目和网络漫画，均享高质量字幕。​,"Nhận quyền ưu tiên truy cập vào hàng nghìn giờ Phim, Chương Trình Truyền Hình, Webcomic Hàn Quốc với phụ đề chất lượng cao."
5,,Sign In with Your Device,Entrar com seu dispositivo,Iniciar sesión con tu dispositivo,使用您的设备登录,Đăng Nhập bằng Thiết Bị Của Bạn
4,,Scan the QR code,Escaneie o código QR,Escanea el código QR,扫描二维码,Quét Mã QR
5,,Get a New QR Code,Gerar novo código QR,Obtener un nuevo código QR,获取新的二维码,Nhận Mã QR Mới
4,,Don’t have an account?,Ainda não tem conta?,¿No tienes una cuenta?,还没有帐号？,Bạn chưa có tài khoản?
11,,Scan the QR code on your device to create an account.,Escaneie o código QR no seu dispositivo para criar uma conta.,Escanea el código QR de tu dispositivo para crear una cuenta.,在您的设备上扫描二维码以创建帐号。,Quét mã QR trên thiết bị của bạn để tạo tài khoản.
29,,"To change your subscripiton (upgrade or downgrade), please use the platform where you originally made your purchase, such as [{}]. If you need help, please visit our Help Center.","Para alterar sua assinatura (upgrade ou downgrade), use a plataforma onde a compra foi feita, como [{}]. Se precisar de ajuda, acesse nossa Central de Ajuda.","Para cambiar tu suscripción (subir o bajar de categoría), usa la plataforma donde realizaste la compra originalmente, como [{}]. Si necesitas ayuda, comunícate con nuestro Centro de ayuda.",如需更改您的订阅（升级或降级），请使用您当初购买订阅的平台进行操作，例如[{}]。如需帮助，请访问我们的帮助中心。,"Để thay đổi gói đăng ký (nâng cấp hoặc hạ cấp), vui lòng sử dụng nền tảng mà bạn đã mua ban đầu, ví dụ như [{}]. Nếu cần hỗ trợ, hãy truy cập Trung Tâm Hỗ Trợ của chúng tôi."
5,,Plan Chnage Not Available Here,Alteração de plano indisponível aqui,Cambio de plan no disponible aquí,无法在此更改订阅计划,Không Thể Thay Đổi Gói Đăng Ký Tại Đây.
4,,the Apple App Store,App Store da Apple,la App Store de Apple,苹果应用商店,Cửa Hàng Ứng Dụng của Apple
2,,Google Play,Google Play,Google Play,Google Play,Google Play
27,,"Starting from September 1st, sales in North America may be subject to combined state and or local tax. Applicable tax rates will show up as additional charges.","A partir do dia 1º de setembro, as vendas na América do Norte podem incluir impostos locais e estaduais. Esses valores serão exibidos como cobranças adicionais.","A partir del 1 de septiembre, las ventas en Norteamérica pueden incluir impuestos locales y estatales. Los impuestos aplicables se mostrarán como cargos adicionales.",自9月1日起，北美地区销售商品可能需缴纳州税和地方税组合税费。适用税率将作为附加费用显示在账单中。,"Bắt đầu từ ngày 1 tháng 9, doanh số bán hàng tại Bắc Mỹ có thể phải chịu thuế tiểu bang và/hoặc thuế địa phương. Mức thuế áp dụng sẽ được hiển thị dưới dạng các khoản phí bổ sung."
13,,The download was interrupted due to an unstable network. Please try downloading again.,O download foi interrompido por instabilidade na rede. Tente baixar novamente.,La descarga se interrumpió debido a una red inestable. Intenta descargar de nuevo.,下载因网络不稳定而中断。请尝试重新下载。,Quá trình tải xuống bị gián đoạn do mạng không ổn định. Vui lòng thử lại.
11,,Email not verified. Please complete the verification on mobile or web.,E-mail não verificado. Conclua a verificação pelo celular ou pelo site.,Email no verificado. Completa la verificación en el móvil o en la web.,邮箱未验证。请在手机或网页端完成验证。,Email chưa được xác minh. Vui lòng hoàn tất xác minh trên thiết bị di động hoặc trang web.
9,,Subscribe now and enjoy unlimited access to KOCOWA+ content!,Assine agora e aproveite o acesso ilimitado ao conteúdo da KOCOWA+!,¡Suscríbete ahora y disfruta de acceso ilimitado al contenido de KOCOWA!,立即订阅，畅享无限制访问 KOCOWA+ 内容！,Đăng ký ngay và tận hưởng quyền truy cập không giới hạn vào nội dung KOCOWA+!
2,,SERVICE HOME,PÁGINA INICIAL,PÁGINA DE INICIO,服务主页,TRANG CHỦ DỊCH VỤ
8,,A verification email has been sent to {email},Enviamos um e-mail de verificação para {email}.,Se ha enviado un email de verificación a {email}.,验证邮件已发送至 {email},Email xác minh đã được gửi đến {email}.
12,,Please check your inbox and follow the link to complete your registration.,Verifique sua caixa de entrada e clique no link para concluir o cadastro.,Revisa tu bandeja de entrada y sigue el enlace para completar tu registro.,请检查您的收件箱并点击链接完成注册。,Vui lòng kiểm tra hộp thư đến và nhấp vào liên kết để hoàn tất đăng ký.
10,,"If you did not get any mail, Resend verification mail",Não recebeu o e-mail? Reenviar verificação.,¿No recibiste el email? Reenviar verificación.,若未收到邮件，请重新发送验证邮件,"Nếu bạn không nhận được bất kỳ email nào, hãy gửi lại email xác minh."
13,,"If you have any other questions, please reach out to our Help Center.","Se tiver mais dúvidas, entre em contato com nossa Central de Ajuda.","Si tienes alguna otra pregunta, comunícate con nuestro Centro de ayuda.",如有任何其他问题，请联系我们的帮助中心。,"Nếu bạn có bất kỳ câu hỏi nào khác, vui lòng liên hệ Trung Tâm Trợ Giúp của chúng tôi."
3,,Email Verification Required,É necessário verificar seu e-mail.,Se requiere verificación de email.,需进行邮箱验证,Yêu Cầu Xác Minh Email
14,,This account isn't verified yet. You'll need to verify your email to use KOCOWA+.,Verifique seu e-mail para começar a usar o KOCOWA+.,Esta cuenta aún no está verificada. Verifica tu email para usar KOCOWA+.,此账户尚未验证。您需要验证邮箱才能使用 KOCOWA+。,Tài khoản này chưa được xác minh. Bạn cần xác minh email để sử dụng KOCOWA+.
2,,Stay Here,Continuar aqui,Continuar aquí,留在此页,Ở Lại Trang
3,,Verification Email Sent,E-mail de verificação enviado,Email de verificación enviado.,验证邮件已发送,Email Xác Minh Đã Được Gửi Lại
15,,A new verification email has been sent to your email address. Please check your inbox.,Reenviamos o e-mail de verificação. Verifique sua caixa de entrada.,Reenviamos el email de verificación. Revisa tu bandeja de entrada.,新的验证邮件已发送至您的邮箱地址。请检查您的收件箱。,Một email xác minh mới đã được gửi đến địa chỉ email của bạn. Vui lòng kiểm tra hộp thư đến.
4,,Failed to Send Email,Falha ao enviar o e-mail.,Error al enviar el email.,邮件发送失败,Gửi Email Không Thành Công
15,,We couldn’t resent the verification email due to a server error. Please try again later.,Não foi possível reenviar o e-mail de verificação devido a um erro no servidor. Tente novamente mais tarde.,No pudimos reenviar el email de verificación debido a un error del servidor. Inténtalo de nuevo más tarde.,由于服务器错误，我们未能重新发送验证邮件。请稍后再试。,Chúng tôi không thể gửi lại email xác minh do lỗi máy chủ. Vui lòng thử lại sau.
3,,Daily Limit Reached,Limite diário atingido.,Límite diario alcanzado,超过每日重发限制,Đã Hết Lượt Gửi Lại Trong Ngày.
20,,You’ve reached the daily limit for resending verification emails. Please try again tomorrow or contact our Help Center for assistance.,Você já solicitou o número máximo de e-mails hoje. Tente novamente amanhã ou fale com nossa Central de Ajuda.,Has alcanzado el límite diario para reenviar emails de verificación. Inténtalo de nuevo mañana o comunícate con nuestro Centro de ayuda.,您已达到每日重新发送验证邮件的次数上限。请明天再试，或联系我们的帮助中心寻求协助。,Bạn đã hết lượt gửi lại email xác minh trong ngày. Vui lòng thử lại vào ngày mai hoặc liên hệ Trung Tâm Trợ Giúp của chúng tôi để được hỗ trợ.
4,,Please Try Again Later,Tente novamente mais tarde,Inténtelo de nuevo más tarde,请稍后再试,Vui Lòng Thử Lại Sau
13,,You’ve requested verification too many times. Please wait a moment before trying again.,Você solicitou verificação muitas vezes. Aguarde um momento antes de tentar novamente.,Has solicitado la verificación demasiadas veces. Espera un momento antes de volver a intentarlo.,您请求验证的次数过多。请稍等片刻后再试。,Bạn đã yêu cầu xác minh quá nhiều lần. Vui lòng đợi một chút trước khi thử lại.
3,,Verification Link Invalid,Link de verificação inválido,Enlace de verificación no válido,验证链接无效,Liên Kết Xác Minh Không Hợp Lệ
22,,"This link has expired or is no longer valid. Please use the most recent verification email, or request a new one below.",Este link expirou ou não é mais válido. Use o e-mail de verificação mais recente ou solicite um novo abaixo.,Este enlace ha caducado o ya no es válido. Usa el email de verificación más reciente o solicita uno nuevo a continuación.,此链接已过期或失效。请使用最新的验证邮件，或点击下方请求新的邮件。,Liên kết này đã hết hạn hoặc không hợp lệ. Vui lòng sử dụng email xác minh gần đây nhất hoặc yêu cầu email mới bên dưới.
4,,Verify Your Email Now,Verifique seu e-mail agora,Verificar tu email ahora,立即验证您的邮箱,Xác Minh Email Ngay
26,,"To continue using KOCOWA+ without restrictions, please verify your email address. If you email is incorrect, please go to My Account to update it before sending.","Para continuar usando o KOCOWA+ sem restrições, verifique seu endereço de e-mail. Se ele estiver incorreto, acesse Minha Conta para atualizá-lo antes de reenviar.","Para continuar usando KOCOWA+ sin restricciones, verifica tu email. Si es incorrecto, ve a Mi cuenta para actualizarlo antes de enviarlo.",为了继续畅享 KOCOWA+，请验证您的邮箱地址。如果您的邮箱地址有误，请在发送前前往我的账户进行更新。,"Để tiếp tục sử dụng KOCOWA+ không giới hạn, vui lòng xác minh địa chỉ email của bạn. Nếu địa chỉ email không chính xác, vui lòng vào mục Tài Khoản Của Tôi để cập nhật trước khi gửi."
21,,"To continue using KOCOWA+ without restrictions, please verify your email address. If you email is incorrect, please contact our Help Center.","Para continuar usando o KOCOWA+ sem restrições, verifique seu endereço de e-mail. Se ele estiver incorreto, entre em contato com nossa Central de Ajuda.","Para continuar usando KOCOWA+ sin restricciones, verifica tu email. Si es incorrecto, comunícate con nuestro Centro de ayuda.",为了继续畅享 KOCOWA+，请验证您的邮箱地址。如果您的邮箱地址有误，请联系我们的帮助中心。,"Để tiếp tục sử dụng KOCOWA+ không giới hạn, vui lòng xác minh địa chỉ email của bạn. Nếu địa chỉ email không chính xác, vui lòng liên hệ Trung Tâm Trợ Giúp của chúng tôi."
2,,Send Email,Enviar e-mail,Enviar email,发送邮件,Gửi Email
10,,Your password must be between 6 and 20 characters long,A senha deve ter entre 6 e 20 caracteres.,La contraseña debe tener entre 6 y 20 caracteres.,您的密码长度必须为 6 到 20 个字符,Mật khẩu của bạn phải dài từ 6 đến 20 ký tự.
12,,Your QR Code has expired. Please try again with a new code.,Seu código QR expirou. Tente novamente com um novo código.,Tu código QR ha caducado. Inténtalo de nuevo con un nuevo código.,您的二维码已过期。请获取并使用新二维码重试。,Mã QR của bạn đã hết hạn. Vui lòng thử lại với mã mới.
4,,Please enter your email,Informe seu endereço de e-mail,Ingresa tu email,请输入您的邮箱,Vui lòng nhập email của bạn.
2,,Email Verification,Verificação de e-mail,Verificación de email,邮箱验证,Xác Minh Email
6,,A verifiation email has sent to,Um e-mail de verificação foi enviado para,Se ha enviado un email de verificación a,验证邮件已发送至,Email xác minh đã được gửi đến
3,,Check Email Verificaiton,Verificar e-mail,Verificar el email,检查邮箱验证状态,Kiểm Tra Tình Trạng Xác Minh Email
3,,Sign In Request,Solicitação de login,Solicitud de inicio de sesión,登录请求,Yêu Cầu Đăng Nhập
12,,A sign-in attempt was made from {TV Platfrom}.\nWould you like to continue?,"Uma tentativa de login foi feita por sua TV ({TV Platform}).
 Deseja continuar?",Se realizó un intento de inicio de sesión desde {TV Platform}.\n¿Desea continuar?,有来自 {TV Platfrom} 的登录尝试。\n是否继续？,Yêu cầu đăng nhập đã được thực hiện từ {TV Platform}.\nBạn có muốn tiếp tục không?
2,,Signed In,Login realizado com sucesso,Iniciado sesión,已登录,Đăng Nhập Thành Công
9,,You’re now signed in. Enjoy watching on your TV!,Você está conectado. Aproveite seus conteúdos na TV!,Ya has iniciado sesión. ¡Disfruta viendo en tu TV!,您已成功登录。请尽情在电视上观看吧！,Bạn đã đăng nhập thành công. Chúc bạn xem TV vui vẻ!
2,,Sign-In Cancelled,Login cancelado,Inicio de sesión cancelado.,登录已取消,Hủy Đăng Nhập
